model,language,prompt,ICC,Quality
o3-mini,EN,COT,0.8565730142212972,Good
o3-mini,EN,ZS,0.8405846363018351,Good
Grok-4,EN,ZS,0.8135502323918485,Good
o3-mini,ES,ZS,0.8005890505890505,Good
Grok-4,EN,COT,0.7985649282464125,Good
Claude-Opus-4,ES,ZS,0.7948113207547169,Good
Grok-4,ES,ZS,0.7926557863501484,Good
Claude-Opus-4,EN,ZS,0.784944857655809,Good
Grok-4,ES,COT,0.766741488963711,Good
DeepSeek-V3-685B,EN,COT,0.7606013878180415,Good
DeepSeek-V3-685B,EN,ZS,0.7451886066204773,Moderate
Grok-3,EN,ZS,0.737904206175541,Moderate
o3-mini,ES,COT,0.7351940095302927,Moderate
Claude-Opus-4,ES,COT,0.7260220125786162,Moderate
Grok-3,ES,COT,0.7155770183259037,Moderate
Grok-3,EN,COT,0.7105965082444231,Moderate
Claude-Opus-4,EN,COT,0.6823811931243681,Moderate
GPT-4o-mini,EN,ZS,0.6823590274185202,Moderate
DeepSeek-V3-685B,ES,ZS,0.6750931346460883,Moderate
LLaMA-3.3-70B,EN,ZS,0.6682051282051282,Moderate
GPT-4o,EN,ZS,0.6238213399503723,Moderate
LLaMA-3.3-70B,EN,COT,0.6169375317420009,Moderate
Grok-3,ES,ZS,0.6118404756006937,Moderate
DeepSeek-V3-685B,ES,COT,0.6022064417955871,Moderate
GPT-4o,ES,ZS,0.588780487804878,Poor
LLaMA-3.3-70B,ES,COT,0.5867568257208473,Poor
LLaMA-3.3-70B,ES,ZS,0.5778601694915255,Poor
GPT-4o,EN,COT,0.5651696363192581,Poor
GPT-4o,ES,COT,0.529419160170983,Poor
GPT-4o-mini,EN,COT,0.5142317380352645,Poor
GPT-4o-mini,ES,ZS,0.49244171150397126,Poor
GPT-4o-mini,ES,COT,0.4843142338605133,Poor
