model,language,prompt,n,hits,prop,ci_lwr.ci,ci_upr.ci
Claude-Opus-4,EN,COT,315,190,0.6031746031746031,0.5482162041104832,0.6556468701597731
Claude-Opus-4,EN,ZS,315,195,0.6190476190476191,0.5642902303882786,0.6709363937697093
Claude-Opus-4,ES,COT,315,201,0.638095238095238,0.5836578640088755,0.6892050200143905
Claude-Opus-4,ES,ZS,315,201,0.638095238095238,0.5836578640088755,0.6892050200143905
DeepSeek-V3-685B,EN,COT,315,195,0.6190476190476191,0.5642902303882786,0.6709363937697093
DeepSeek-V3-685B,EN,ZS,315,195,0.6190476190476191,0.5642902303882786,0.6709363937697093
DeepSeek-V3-685B,ES,COT,315,191,0.6063492063492063,0.5514263070493389,0.6587094771984635
DeepSeek-V3-685B,ES,ZS,315,201,0.638095238095238,0.5836578640088755,0.6892050200143905
GPT-4o,EN,COT,315,143,0.45396825396825397,0.3998710176746728,0.5091746876509052
GPT-4o,EN,ZS,315,133,0.4222222222222222,0.3689371789594329,0.4773814265906816
GPT-4o,ES,COT,315,128,0.40634920634920635,0.3535549023276215,0.4614001533347613
GPT-4o,ES,ZS,315,153,0.4857142857142857,0.43102644040715266,0.5407463646938888
GPT-4o-mini,EN,COT,315,127,0.4031746031746032,0.3504853287037189,0.45819701698111764
GPT-4o-mini,EN,ZS,315,119,0.37777777777777777,0.3260128077317382,0.43248785813272755
GPT-4o-mini,ES,COT,315,117,0.37142857142857144,0.3199184067231978,0.4260368391861752
GPT-4o-mini,ES,ZS,315,121,0.38412698412698415,0.33211678791339116,0.4389292979061673
Grok-3,EN,COT,315,155,0.49206349206349204,0.43728384592452396,0.5470343791316101
Grok-3,EN,ZS,315,152,0.48253968253968255,0.4279010197901691,0.5375990753333261
Grok-3,ES,COT,315,181,0.5746031746031746,0.5194291472966578,0.6279795371756812
Grok-3,ES,ZS,315,181,0.5746031746031746,0.5194291472966578,0.6279795371756812
Grok-4,EN,COT,315,245,0.7777777777777778,0.7286751685829919,0.8201869544523134
Grok-4,EN,ZS,315,247,0.7841269841269841,0.7354143032079627,0.825993239782435
Grok-4,ES,COT,315,251,0.7968253968253968,0.7489397646947705,0.8375586182058127
Grok-4,ES,ZS,315,250,0.7936507936507936,0.7455523400700662,0.8346733328529706
LLaMA-3.3-70B,EN,COT,315,124,0.39365079365079364,0.3412905228015364,0.4485736929506611
LLaMA-3.3-70B,EN,ZS,315,121,0.38412698412698415,0.33211678791339116,0.4389292979061673
LLaMA-3.3-70B,ES,COT,315,122,0.3873015873015873,0.33517234166335785,0.44214645413374687
LLaMA-3.3-70B,ES,ZS,315,115,0.36507936507936506,0.3138336818053685,0.41957614414891187
o3-mini,EN,COT,315,244,0.7746031746031746,0.7253112882257933,0.8172781248319656
o3-mini,EN,ZS,315,242,0.7682539682539683,0.718594622722062,0.8114493703806042
o3-mini,ES,COT,315,242,0.7682539682539683,0.718594622722062,0.8114493703806042
o3-mini,ES,ZS,315,244,0.7746031746031746,0.7253112882257933,0.8172781248319656
