problem_id,domain,language,prompt,model,run,correct
38829155,Calculus,ES,ZS,GPT-4o,1,1
57228746,Geometry,ES,ZS,GPT-4o,1,0
67283791,Geometry,ES,ZS,GPT-4o,1,0
22560123,Calculus,ES,ZS,GPT-4o,1,1
11903135,Geometry,ES,ZS,GPT-4o,1,1
28888083,Geometry,ES,ZS,GPT-4o,1,0
32509360,Geometry,ES,ZS,GPT-4o,1,0
91245748,Calculus,ES,ZS,GPT-4o,1,0
69096660,Calculus,ES,ZS,GPT-4o,1,1
92325881,Calculus,ES,ZS,GPT-4o,1,1
37339456,Calculus,ES,ZS,GPT-4o,1,1
68035715,Geometry,ES,ZS,GPT-4o,1,0
88300591,Mathematical Logic,ES,ZS,GPT-4o,1,1
30264009,Mathematical Logic,ES,ZS,GPT-4o,1,1
69874541,Mathematical Logic,ES,ZS,GPT-4o,1,1
42283864,Mathematical Logic,ES,ZS,GPT-4o,1,1
40400682,Probability,ES,ZS,GPT-4o,1,1
11740200,Mathematical Logic,ES,ZS,GPT-4o,1,0
10016400,Mathematical Logic,ES,ZS,GPT-4o,1,1
22015068,Mathematical Logic,ES,ZS,GPT-4o,1,1
95825976,Probability,ES,ZS,GPT-4o,1,0
13123055,Calculus,ES,ZS,GPT-4o,1,0
41926288,Calculus,ES,ZS,GPT-4o,1,1
39422336,Theory of Numbers,ES,ZS,GPT-4o,1,0
46648638,Algebra,ES,ZS,GPT-4o,1,1
91557340,Algebra,ES,ZS,GPT-4o,1,1
95742475,Theory of Numbers,ES,ZS,GPT-4o,1,1
37465279,Theory of Numbers,ES,ZS,GPT-4o,1,1
46784732,Algebra,ES,ZS,GPT-4o,1,1
77573257,Theory of Numbers,ES,ZS,GPT-4o,1,0
50587904,Algebra,ES,ZS,GPT-4o,1,0
77476392,Calculus,ES,ZS,GPT-4o,1,1
82424055,Mathematical Logic,ES,ZS,GPT-4o,1,1
83268318,Mathematical Logic,ES,ZS,GPT-4o,1,0
12631363,Theory of Numbers,ES,ZS,GPT-4o,1,1
53431694,Theory of Numbers,ES,ZS,GPT-4o,1,0
27600538,Algebra,ES,ZS,GPT-4o,1,1
67048238,Theory of Numbers,ES,ZS,GPT-4o,1,0
