"","contrast","domain","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"1","(Claude-Opus-4) - (Grok-4)","Algebra",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"2","(DeepSeek-V3-685B) - (Grok-4)","Algebra",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"3","(GPT-4o) - (Grok-4)","Algebra",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"4","(GPT-4o-mini) - (Grok-4)","Algebra",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"5","(Grok-3) - (Grok-4)","Algebra",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"6","(LLaMA-3.3-70B) - (Grok-4)","Algebra",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"7","(o3-mini) - (Grok-4)","Algebra",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"8","(Claude-Opus-4) - (Grok-4)","Calculus",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"9","(DeepSeek-V3-685B) - (Grok-4)","Calculus",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"10","(GPT-4o) - (Grok-4)","Calculus",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"11","(GPT-4o-mini) - (Grok-4)","Calculus",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"12","(Grok-3) - (Grok-4)","Calculus",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"13","(LLaMA-3.3-70B) - (Grok-4)","Calculus",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"14","(o3-mini) - (Grok-4)","Calculus",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"15","(Claude-Opus-4) - (Grok-4)","Combinatorics",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"16","(DeepSeek-V3-685B) - (Grok-4)","Combinatorics",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"17","(GPT-4o) - (Grok-4)","Combinatorics",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"18","(GPT-4o-mini) - (Grok-4)","Combinatorics",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"19","(Grok-3) - (Grok-4)","Combinatorics",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"20","(LLaMA-3.3-70B) - (Grok-4)","Combinatorics",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"21","(o3-mini) - (Grok-4)","Combinatorics",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"22","(Claude-Opus-4) - (Grok-4)","Geometry",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"23","(DeepSeek-V3-685B) - (Grok-4)","Geometry",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"24","(GPT-4o) - (Grok-4)","Geometry",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
"25","(GPT-4o-mini) - (Grok-4)","Geometry",-3.66773855232848,0.144341311609368,Inf,-4.05603248985145,-3.27944461480551,-25.4101789115961,1.1678651460424e-141
"26","(Grok-3) - (Grok-4)","Geometry",-2.58927669520769,0.141607267965703,Inf,-2.97021575587716,-2.20833763453821,-18.2849138494418,4.36543293027433e-74
"27","(LLaMA-3.3-70B) - (Grok-4)","Geometry",-3.67942937300544,0.144397631907405,Inf,-4.06787481829873,-3.29098392771215,-25.4812307127368,2.22813809573242e-142
"28","(o3-mini) - (Grok-4)","Geometry",-0.23731723361781,0.149131413204552,Inf,-0.638497069078041,0.163862601842421,-1.59132961002857,0.111535416417793
"29","(Claude-Opus-4) - (Grok-4)","Mathematical Logic",-1.82924020438168,0.141965379503658,Inf,-2.21114262431119,-1.44733778445216,-12.885114742602,1.09188495472387e-37
"30","(DeepSeek-V3-685B) - (Grok-4)","Mathematical Logic",-1.86398130488962,0.14192674443766,Inf,-2.24577979226001,-1.48218281751923,-13.1334042239542,6.35734947630126e-39
"31","(GPT-4o) - (Grok-4)","Mathematical Logic",-3.24543796768689,0.142756269952321,Inf,-3.62946796954729,-2.86140796582649,-22.7341185698592,1.03034748945938e-113
