contrast,domain,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
(Claude-Opus-4) / (Grok-4),Álgebra,0.03021110600965981,0.03070740115927082,Inf,0.001961889633706824,0.46522032159495796,1,-3.442985773383998,0.0017259887353723447
(DeepSeek-V3-685B) / (Grok-4),Álgebra,0.05004064083798552,0.051416343166421956,Inf,0.003154311598886005,0.7938549052543242,1,-2.914787325740048,0.007118620058164744
(GPT-4o) / (Grok-4),Álgebra,0.0077475703028343085,0.007786531481417498,Inf,5.18788842325929e-4,0.1157018823462851,1,-4.836056311109959,6.622020862452599e-6
(GPT-4o-mini) / (Grok-4),Álgebra,0.005402359456089043,0.005425230266166472,Inf,3.625248438746408e-4,0.08050617271043328,1,-5.198909974866287,1.202763463749854e-6
(Grok-3) / (Grok-4),Álgebra,0.011548681202855819,0.011629200059872667,Inf,7.692847745232738e-4,0.17337147691223453,1,-4.430295453315316,3.7641627911634784e-5
(LLaMA-3.3-70B) / (Grok-4),Álgebra,0.0037139160072455447,0.003729671014609482,Inf,2.492161862717383e-4,0.05534621292147933,1,-5.572031012255742,1.7625060989442364e-7
(o3-mini) / (Grok-4),Álgebra,0.07074459438830809,0.07324945191928235,Inf,0.004365434622346965,1.1464603339943116,1,-2.558104220666007,0.010524454493337573
(Claude-Opus-4) / (Grok-4),Cálculo,0.28277021637800087,0.09765044797714498,Inf,0.1116808983199953,0.7159594565702524,1,-3.6576678534047886,7.635617291434588e-4
(DeepSeek-V3-685B) / (Grok-4),Cálculo,0.28276919869619327,0.09765885168689128,Inf,0.11167119471759167,0.7160165155705218,1,-3.6573503629428323,7.635617291434588e-4
(GPT-4o) / (Grok-4),Cálculo,0.14408153350117908,0.04912294358705644,Inf,0.05758242536000601,0.3605177824008422,1,-5.682479006073682,5.310248565705981e-8
(GPT-4o-mini) / (Grok-4),Cálculo,0.0958809878673987,0.03265602294146535,Inf,0.038355028082084866,0.23968601495359776,1,-6.884093793697481,3.48939295086586e-11
(Grok-3) / (Grok-4),Cálculo,0.1325604698528391,0.04516627186665579,Inf,0.05300887482645678,0.3314969092465084,1,-5.930688968517155,1.5083308866148928e-8
(LLaMA-3.3-70B) / (Grok-4),Cálculo,0.07871025931635452,0.026851124835501484,Inf,0.031439740762981214,0.19705330805215948,1,-7.451458577519094,6.461971439129819e-13
(o3-mini) / (Grok-4),Cálculo,1.0707096703564776,0.39098525888730024,Inf,0.40091290356403264,2.859521826320499,1,0.18709829383050247,0.8515835658647242
(Claude-Opus-4) / (Grok-4),Combinatoria,0.016417714522629998,0.007365773712492974,Inf,0.004910858738412386,0.05488680585296473,1,-9.159508059143187,1.5640330238443167e-19
(DeepSeek-V3-685B) / (Grok-4),Combinatoria,0.013724292423428638,0.006194288374316726,Inf,0.004075608322462396,0.046215481867006275,1,-9.501952465854364,8.239648472924806e-21
(GPT-4o) / (Grok-4),Combinatoria,0.009669940581591593,0.004406201112211257,Inf,0.0028384211773759076,0.03294357849244872,1,-10.18026014821867,1.2145555084362153e-23
(GPT-4o-mini) / (Grok-4),Combinatoria,0.0037576856664071306,0.0017496784005313298,Inf,0.0010738138972206416,0.01314957983321784,1,-11.992338981355019,2.3384528660137294e-32
(Grok-3) / (Grok-4),Combinatoria,0.016417654302730816,0.007367559335693579,Inf,0.00490938237485879,0.054902908802602374,1,-9.157262718879348,1.5640330238443167e-19
