contrast,language,prompt,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
(Claude-Opus-4) - (DeepSeek-V3-685B),EN,COT,-0.13490182222728908,0.23221735279994607,Inf,-0.8602872089306103,0.5904835644760321,-0.5809291192097356,1
(Claude-Opus-4) - (GPT-4o),EN,COT,1.1515638099877847,0.22283967686285802,Inf,0.4554717943611001,1.8476558256144693,5.167678513088539,2.6072150161230024e-6
(Claude-Opus-4) - (GPT-4o-mini),EN,COT,1.520915367926427,0.22343997123124923,Inf,0.8229481919928102,2.2188825438600435,6.806818670560762,1.496708472769241e-10
(Claude-Opus-4) - (Grok-3),EN,COT,0.871344015939445,0.22337789724343227,Inf,0.17357074267121453,1.5691172892076755,3.9007620122320055,8.630134352358338e-4
(Claude-Opus-4) - (Grok-4),EN,COT,-1.8715121462706708,0.26884731249194305,Inf,-2.7113198065712494,-1.0317044859700921,-6.96124550743559,5.733715852109851e-11
(Claude-Opus-4) - (LLaMA-3.3-70B),EN,COT,1.5873433697324832,0.22368462714113035,Inf,0.8886119536606575,2.286074785804309,7.096345377060595,2.3057840909020705e-11
(Claude-Opus-4) - (o3-mini),EN,COT,-1.8268897590932949,0.26776185060336655,Inf,-2.6633067245026303,-0.9904727936839594,-6.822815703494117,1.4283704859126922e-10
(DeepSeek-V3-685B) - (GPT-4o),EN,COT,1.2864656322150738,0.22506925337612113,Inf,0.5834090112229525,1.9895222532071952,5.715865729848119,1.309762776630017e-7
(DeepSeek-V3-685B) - (GPT-4o-mini),EN,COT,1.655817190153716,0.2256525591275802,Inf,0.9509384767856949,2.360695903521737,7.337905657066112,4.122278172304774e-12
(DeepSeek-V3-685B) - (Grok-3),EN,COT,1.006245838166734,0.225582496145158,Inf,0.30158598296320904,1.710905693370259,4.460655659733609,8.170928560799281e-5
(DeepSeek-V3-685B) - (Grok-4),EN,COT,-1.7366103240433817,0.27042086352542927,Inf,-2.5813333401998433,-0.8918873078869202,-6.421879959273475,1.8844217133063103e-9
(DeepSeek-V3-685B) - (LLaMA-3.3-70B),EN,COT,1.7222451919597723,0.22591383457819925,Inf,1.016550323418599,2.4279400605009456,7.623460489594866,4.939278299719096e-13
(DeepSeek-V3-685B) - (o3-mini),EN,COT,-1.6919879368660058,0.2692105951280319,Inf,-2.5329303957175306,-0.8510454780144809,-6.284997572481594,4.262164593420733e-9
(GPT-4o) - (GPT-4o-mini),EN,COT,0.36935155793864216,0.21429094996508327,Inf,-0.3000365034322826,1.0387396193095668,1.7235984907380577,0.42390175597472857
(GPT-4o) - (Grok-3),EN,COT,-0.28021979404833974,0.2149133999493791,Inf,-0.9515522239908539,0.39111263589417444,-1.3038730675441501,0.769107457779063
(GPT-4o) - (Grok-4),EN,COT,-3.0230759562584555,0.26434784455940663,Inf,-3.8488284727601387,-2.1973234397567722,-11.435977324865544,6.633760201991417e-29
(GPT-4o) - (LLaMA-3.3-70B),EN,COT,0.4357795597446985,0.2144982633047782,Inf,-0.2342560934847594,1.1058152129741563,2.031622788131875,0.25315114745951955
(GPT-4o) - (o3-mini),EN,COT,-2.9784535690810796,0.2630935750159594,Inf,-3.800288080374136,-2.1566190577880233,-11.320890557287097,2.3785671736496676e-28
(GPT-4o-mini) - (Grok-3),EN,COT,-0.6495713519869819,0.21522147132141617,Inf,-1.3218661151429396,0.022723411168975804,-3.0181531052582513,0.017802426684455645
(GPT-4o-mini) - (Grok-4),EN,COT,-3.392427514197098,0.2650549833136639,Inf,-4.220388944513898,-2.5644660838802973,-12.798957679594075,4.32033056091897e-36
(GPT-4o-mini) - (LLaMA-3.3-70B),EN,COT,0.06642800180605635,0.2145776302784313,Inf,-0.6038555727875057,0.7367115763996184,0.3095756147547198,1
(GPT-4o-mini) - (o3-mini),EN,COT,-3.347805127019722,0.2638075276460796,Inf,-4.171869836867896,-2.523740417171548,-12.690332064788876,1.6725383173549875e-35
(Grok-3) - (Grok-4),EN,COT,-2.7428561622101157,0.26451179461268176,Inf,-3.5691208151708578,-1.9165915092493737,-10.3695041887505,7.508400457065506e-24
(Grok-3) - (LLaMA-3.3-70B),EN,COT,0.7159993537930383,0.21545395140118986,Inf,0.04297838456103098,1.3890203230250455,3.323212914576809,0.007118957268099137
(Grok-3) - (o3-mini),EN,COT,-2.69823377503274,0.26327895866835566,Inf,-3.5206473756606824,-1.8758201744047973,-10.24857356121505,2.5221595947085e-23
(Grok-4) - (LLaMA-3.3-70B),EN,COT,3.4588555160031538,0.26532150885601263,Inf,2.6300615306198525,4.287649501386455,13.036468588305219,2.124962827585468e-37
(Grok-4) - (o3-mini),EN,COT,0.04462238717737588,0.29639889670590414,Inf,-0.8812491108526368,0.9704938852073886,0.15054842535953009,1
(LLaMA-3.3-70B) - (o3-mini),EN,COT,-3.414233128825778,0.26407639708941044,Inf,-4.23913771546512,-2.589328542186436,-12.9289598254773,8.342206094881991e-37
(Claude-Opus-4) - (DeepSeek-V3-685B),ES,COT,0.27795835865263896,0.23525147713463157,Inf,-0.4569048273076476,1.0128215446129256,1.1815371450083043,1
(Claude-Opus-4) - (GPT-4o),ES,COT,1.8009311162927226,0.22834309279080264,Inf,1.0876478897468416,2.5142143428386037,7.886952455105144,5.573795652002796e-14
(Claude-Opus-4) - (GPT-4o-mini),ES,COT,2.0566637442622326,0.2296007578419252,Inf,1.3394519058428118,2.7738755826816535,8.957565138692608,7.302386031769251e-18
(Claude-Opus-4) - (Grok-3),ES,COT,0.539706985320184,0.23234063883552417,Inf,-0.1860635142419078,1.2654774848822758,2.322912547822712,0.14128695639020486
(Claude-Opus-4) - (Grok-4),ES,COT,-1.84781179938582,0.2797759958804992,Inf,-2.7217577664510766,-0.9738658323205637,-6.604611641432872,4.782729170147794e-10
(Claude-Opus-4) - (LLaMA-3.3-70B),ES,COT,1.9409278550919467,0.22891975311358095,Inf,1.2258432947258693,2.656012415458024,8.478638600177655,4.556884201003611e-16
